 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 5.71 sec)
0.012	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.013	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.013	                       -	                   -	Blocking app contact
0.030	                       -	                   -	SecItemCopyMatching() returned errSecItemNotFound. Will attempt to regenerate the key.
0.031	                       -	                   -	Creating a new encryption key
0.088	                       -	                   -	server_show_windows_for_asns start
0.088	                       -	                   -	Allowing apps to contact us
0.089	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.089	                       -	                   -	Still waiting for registration from Finder
0.090	                       -	                   -	Liveness: 2 -> 3 (add_app)
0.090	                       -	                   -	Finder not yet launched, but pretending it is
0.090	        com.apple.finder	                   -	Skipping window creation because the archive was created prior to 10.10 (prev: 10.0)
0.090	                       -	                   -	loginwindow launched no apps (but we still have to handle Finder)
0.090	                       -	                   -	Bitmaps Ready (0 apps, 0 windows)
0.091	        com.apple.finder	                   -	Disposing because it has no windows
0.091	        com.apple.finder	            Disposed	
0.091	                       -	                   -	server_show_windows_for_asns end
0.091	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.091	                       -	                   -	Still waiting for registration from Finder
0.091	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.091	                       -	                   -	Still waiting for registration from Finder
0.198	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.198	                       -	                   -	Still waiting for registration from Finder
1.751	        com.apple.finder	                   -	Finder checked in
1.751	                       -	                   -	All started apps have registered (no remaining unregistered apps)
1.752	                       -	                   -	TAL Relaunch - all apps registered as ready
2.091	                       -	                   -	Liveness: 3 -> 2 (__remove_app_block_invoke)
3.013	                       -	                   -	Liveness: 2 -> 1 (__create_xpc_listener_block_invoke)
15.012	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
15.012	                       -	                   -	Exiting out of boredom
